Mod:Item:MetaData, Localized Name
OpenBlocks:paintcan, Paint Can
OpenBlocks:canvasglass, Glass Canvas
OpenBlocks:projector, Height Map Projector
OpenBlocks:drawingtable, Drawing Table
OpenBlocks:sky:0, Sky Block
OpenBlocks:sky:1, Sky Block
OpenBlocks:xpshower, XP Shower
OpenBlocks:goldenegg, Golden Egg
OpenBlocks:scaffolding, Scaffolding
OpenComputers:accessPoint:0, §cAccess Point§7
OpenComputers:adapter:0, Adapter
OpenComputers:assembler:0, Electronics Assembler
OpenComputers:cable:11250603, Cable
OpenComputers:capacitor:0, Capacitor
OpenComputers:case1:0, Computer Case (Tier 1)
OpenComputers:case3:0, Computer Case (Tier 3)
OpenComputers:case2:0, Computer Case (Tier 2)
OpenComputers:charger:0, Charger
OpenComputers:disassembler:0, Disassembler
OpenComputers:diskDrive:0, Disk Drive
OpenComputers:geolyzer:0, Geolyzer
OpenComputers:hologram1:0, Hologram Projector (Tier 1)
OpenComputers:hologram2:0, Hologram Projector (Tier 2)
OpenComputers:keyboard:0, Keyboard
OpenComputers:motionSensor:0, Motion Sensor
OpenComputers:powerConverter:0, Power Converter
OpenComputers:powerDistributor:0, Power Distributor
OpenComputers:raid:0, Raid
OpenComputers:redstone:0, Redstone I/O
OpenComputers:relay:0, Relay
OpenComputers:screen1:0, Screen (Tier 1)
OpenComputers:screen3:0, Screen (Tier 3)
OpenComputers:screen2:0, Screen (Tier 2)
OpenComputers:rack:0, Rack
OpenComputers:switch:0, §cSwitch§7
OpenComputers:caseCreative:0, Computer Case (Creative)
OpenComputers:microcontroller:0, Microcontroller
OpenComputers:robotAfterimage:0, Robot
OpenComputers:robot:0, Robot.name
OpenComputers:print:0, 3D Print
OpenComputers:printer:0, 3D Printer
OpenComputers:chameliumBlock:0, Block of Chamelium
OpenComputers:waypoint:0, Waypoint
OpenComputers:endstone:0, End Stone
OpenComputers:netSplitter:0, Net Splitter
OpenComputers:transposer:0, Transposer
OpenPeripheral:ticketmachine, Ticket Machine
OpenPeripheral:peripheralproxy, Peripheral Proxy
OpenPeripheral:glassesbridge, Terminal Glasses Bridge
OpenPeripheral:pim, PIM
OpenPeripheral:sensor, Sensor
OpenPeripheral:selector, Item Selector
PeripheralsPlusPlus:chatBox, Chat Box
PeripheralsPlusPlus:aiChatBox, AI Chat Box
PeripheralsPlusPlus:playerSensor, Player Sensor
PeripheralsPlusPlus:rfCharger, Turtle Charger (RF)
PeripheralsPlusPlus:oreDictionary, Ore Dictionary
PeripheralsPlusPlus:teleporter, Turtle Teleporter
PeripheralsPlusPlus:teleporterT2, Advanced Turtle Teleporter
PeripheralsPlusPlus:environmentScanner, Environment Scanner
PeripheralsPlusPlus:speaker, Speaker
PeripheralsPlusPlus:antenna, Antenna
PeripheralsPlusPlus:peripheralContainer, Peripheral Container
PeripheralsPlusPlus:meBridge, ME Bridge
PeripheralsPlusPlus:dummyBlock, tile.peripheralsplusplus:dummyBlock.name
PeripheralsPlusPlus:noteBlock, Iron Note Block
PeripheralsPlusPlus:turtle, Turtle
PeripheralsPlusPlus:timeSensor, Time Sensor
PeripheralsPlusPlus:interactiveSorter, Interactive Sorter
PeripheralsPlusPlus:playerInterface, Player Interface
PeripheralsPlusPlus:resupplyStation, Resupply Station
rftools:machineFrame, Machine Frame
rftools:machineBase, Machine Base
rftools:rfMonitorBlock, RF Monitor
rftools:liquidMonitorBlock, Liquid Monitor
rftools:crafterBlock1, Crafter Tier 1
rftools:crafterBlock2, Crafter Tier 2
rftools:crafterBlock3, Crafter Tier 3
rftools:relayBlock, Power Relay
rftools:itemFilterBlock, Item Filter
rftools:dimletFilterBlock, Dimlet Filter
rftools:storageScannerBlock, Storage Scanner
rftools:machineInfuserBlock, Machine Infuser
rftools:environmentalControllerBlock, Environmental Controller
rftools:spawnerBlock, Spawner
rftools:matterBeamerBlock, Matter Beamer
rftools:volcanicCoreBlock, Volcanic Core
rftools:volcanicBlock, Volcanic Block
rftools:screenBlock, Screen
rftools:screenHitBlock, Screen
rftools:screenControllerBlock, Screen Controller
rftools:dimletResearcherBlock, Dimlet Researcher
rftools:dimletScramblerBlock, Dimlet Scrambler
rftools:dimensionEnscriberBlock, Dimension Enscriber
rftools:dimensionBuilderBlock, Dimension Builder
rftools:creativeDimensionBuilderBlock, Creative Dimension Builder
rftools:dimensionEditorBlock, Dimension Editor
rftools:dimensionMonitorBlock, Dimension Monitor
rftools:dimensionalShardBlock, Dimensional Shard Ore
rftools:dimensionalBlankBlock, Dimensional Blank Block
rftools:dimensionalBlock, Dimensional Block
rftools:dimensionalSmallBlocks, Dimensional Small Blocks
rftools:dimensionalCrossBlock, Dimensional Cross Block
rftools:dimensionalCross2Block, Dimensional Cross 2 Block
rftools:dimensionalPattern1Block, Dimensional Pattern 1 Block
rftools:dimensionalPattern2Block, Dimensional Pattern 2 Block
rftools:activityProbeBlock, Activity Probe
rftools:energyExtractorBlock, Energy Extractor
rftools:matterTransmitterBlock, Matter Transmitter
rftools:matterReceiverBlock, Matter Receiver
rftools:dialingDeviceBlock, Dialing Device
rftools:simpleDialerBlock, Simple Dialer
rftools:destinationAnalyzerBlock, Destination Analyzer
rftools:matterBoosterBlock, Matter Booster
rftools:endergenicBlock, Endergenic Generator
rftools:pearlInjectorBlock, Pearl Injector
rftools:enderMonitorBlock, Ender Monitor
rftools:sequencerBlock, Sequencer
rftools:timerBlock, Timer
rftools:counterBlock, Counter
rftools:redstoneTransmitterBlock, Redstone Transmitter
rftools:redstoneReceiverBlock, Redstone Receiver
rftools:shieldBlock, Shield Projector Tier 1
rftools:shieldBlock2, Shield Projector Tier 2
rftools:shieldBlock3, Shield Projector Tier 3
rftools:shieldBlock4, Shield Projector Tier 4
rftools:invisibleShieldBlock, Invisible Shield Block
rftools:noTickInvisibleShieldBlock, Invisible Shield Block
rftools:solidShieldBlock, Solid Shield Block
rftools:noTickolidShieldBlock, Solid Shield Block
rftools:shieldTemplateBlock:0, Shield Template
rftools:shieldTemplateBlock:1, Shield Template
rftools:shieldTemplateBlock:2, Shield Template
rftools:shieldTemplateBlock:3, Shield Template
rftools:dimletWorkbenchBlock, Dimlet Workbench
rftools:biomeAbsorberBlock, Biome Absorber
rftools:materialAbsorberBlock, Material Absorber
rftools:liquidAbsorberBlock, Liquid Absorber
rftools:timeAbsorberBlock, Time Absorber
rftools:proxyBlock, Proxy Block
rftools:spaceChamberBlock, Space Chamber Corner Block
rftools:spaceChamberControllerBlock, Space Chamber Controller Block
rftools:spaceProjectorBlock, Space Projector Block (WIP)
rftools:builderBlock, Builder Block
rftools:supportBlock, Support Block
rftools:blockProtectorBlock, Block Protector
rftools:modularStorageBlock, Modular Storage
rftools:remoteStorageBlock, Remote Storage
rftools:securityManagerBlock, Security Manager
roadstuff:asphaltLine:0, Asphalt Block
roadstuff:asphaltLine:1, Asphalt Block
roadstuff:asphaltLine:2, Asphalt Block
roadstuff:asphaltLine:3, Asphalt Block
roadstuff:asphaltLine:4, Asphalt Block
roadstuff:asphaltLine:5, Asphalt Block
roadstuff:asphaltYCross:0, Asphalt Block
roadstuff:asphaltYCross:1, Asphalt Block
roadstuff:asphaltYCross:2, Asphalt Block
roadstuff:asphaltYCross:3, Asphalt Block
roadstuff:asphaltYCrossYellow:0, Asphalt Block
roadstuff:asphaltYCrossYellow:1, Asphalt Block
roadstuff:asphaltYCrossYellow:2, Asphalt Block
roadstuff:asphaltYCrossYellow:3, Asphalt Block
roadstuff:asphaltXCrossYellow:0, Asphalt Block
roadstuff:asphaltXCrossYellow:1, Asphalt Block
roadstuff:asphaltXCrossYellow:2, Asphalt Block
roadstuff:asphaltXCrossYellow:3, Asphalt Block
roadstuff:asphaltXCross:0, Asphalt Block
roadstuff:asphaltXCross:1, Asphalt Block
roadstuff:asphaltXCross:2, Asphalt Block
roadstuff:asphaltXCross:3, Asphalt Block
roadstuff:asphaltBlock:0, Asphalt Block
roadstuff:asphaltBlock:1, Asphalt Block
roadstuff:asphaltCorner:0, Asphalt Block
roadstuff:asphaltCorner:1, Asphalt Block
roadstuff:asphaltCorner:2, Asphalt Block
roadstuff:asphaltCorner:3, Asphalt Block
roadstuff:asphaltCorner2:0, Asphalt Block
roadstuff:asphaltCorner2:1, Asphalt Block
roadstuff:asphaltCorner2:2, Asphalt Block
roadstuff:asphaltCorner2:3, Asphalt Block
roadstuff:asphaltCorner3:0, Asphalt Block
roadstuff:asphaltCorner3:1, Asphalt Block
roadstuff:asphaltCorner3:2, Asphalt Block
roadstuff:asphaltCorner3:3, Asphalt Block
roadstuff:asphaltArrow:0, Asphalt Block
roadstuff:asphaltArrow:1, Asphalt Block
roadstuff:asphaltArrow:2, Asphalt Block
roadstuff:asphaltArrow:3, Asphalt Block
roadstuff:asphaltArrow2:0, Asphalt Block
roadstuff:asphaltArrow2:1, Asphalt Block
roadstuff:asphaltArrow2:2, Asphalt Block
roadstuff:asphaltArrow2:3, Asphalt Block
roadstuff:asphaltWordExit:0, Asphalt Block
roadstuff:asphaltWordExit:1, Asphalt Block
roadstuff:asphaltWordExit:2, Asphalt Block
roadstuff:asphaltWordExit:3, Asphalt Block
roadstuff:singleSlabAsphalt:0, Asphalt Slab
roadstuff:singleSlabAsphalt:1, Asphalt Slab
roadstuff:singleSlabAsphaltLine:0, Asphalt Slab
roadstuff:singleSlabAsphaltLine:1, Asphalt Slab
roadstuff:singleSlabAsphaltLine:2, Asphalt Slab
roadstuff:singleSlabAsphaltLine:3, Asphalt Slab
roadstuff:singleSlabAsphaltCorner:0, Asphalt Slab
roadstuff:singleSlabAsphaltCorner:1, Asphalt Slab
roadstuff:singleSlabAsphaltCornerDouble:0, Asphalt Slab
roadstuff:singleSlabAsphaltCornerDouble:1, Asphalt Slab
roadstuff:concreteBlock:0, Concrete Block
roadstuff:concreteBlock:1, Concrete Block
roadstuff:concreteLine:0, Concrete Block
roadstuff:concreteLine:1, Concrete Block
roadstuff:concreteLine:2, Concrete Block
roadstuff:concreteLine:3, Concrete Block
roadstuff:concreteLine:4, Concrete Block
roadstuff:concreteLine:5, Concrete Block
roadstuff:concreteYCross:0, Concrete Block
roadstuff:concreteYCross:1, Concrete Block
roadstuff:concreteYCross:2, Concrete Block
roadstuff:concreteYCross:3, Concrete Block
roadstuff:concreteXCross:0, Concrete Block
roadstuff:concreteXCross:1, Concrete Block
roadstuff:concreteXCross:2, Concrete Block
roadstuff:concreteXCross:3, Concrete Block
roadstuff:concreteYCrossYellow:0, Concrete Block
roadstuff:concreteYCrossYellow:1, Concrete Block
roadstuff:concreteYCrossYellow:2, Concrete Block
roadstuff:concreteYCrossYellow:3, Concrete Block
roadstuff:concreteXCrossYellow:0, Concrete Block
roadstuff:concreteXCrossYellow:1, Concrete Block
roadstuff:concreteXCrossYellow:2, Concrete Block
roadstuff:concreteXCrossYellow:3, Concrete Block
roadstuff:concreteCorner:0, Concrete Block
roadstuff:concreteCorner:1, Concrete Block
roadstuff:concreteCorner:2, Concrete Block
roadstuff:concreteCorner:3, Concrete Block
roadstuff:concreteCorner2:0, Concrete Block
roadstuff:concreteCorner2:1, Concrete Block
roadstuff:concreteCorner2:2, Concrete Block
roadstuff:concreteCorner2:3, Concrete Block
roadstuff:concreteCorner3:0, Concrete Block
roadstuff:concreteCorner3:1, Concrete Block
roadstuff:concreteCorner3:2, Concrete Block
roadstuff:concreteCorner3:3, Concrete Block
roadstuff:concreteArrow:0, Concrete Block
roadstuff:concreteArrow:1, Concrete Block
roadstuff:concreteArrow:2, Concrete Block
roadstuff:concreteArrow:3, Concrete Block
roadstuff:concreteArrow2:0, Concrete Block
roadstuff:concreteArrow2:1, Concrete Block
roadstuff:concreteArrow2:2, Concrete Block
roadstuff:concreteArrow2:3, Concrete Block
roadstuff:singleSlabConcrete:0, Concrete Slab
roadstuff:singleSlabConcrete:1, Concrete Slab
roadstuff:singleSlabConcreteLine:0, Concrete Slab
roadstuff:singleSlabConcreteLine:1, Concrete Slab
roadstuff:singleSlabConcreteLine:2, Concrete Slab
roadstuff:singleSlabConcreteLine:3, Concrete Slab
roadstuff:singleSlabConcreteCorner:0, Concrete Slab
roadstuff:singleSlabConcreteCorner:1, Concrete Slab
roadstuff:singleSlabConcreteCornerDouble:0, Concrete Slab
roadstuff:singleSlabConcreteCornerDouble:1, Concrete Slab
roadstuff:bitumenOre, Bitumen Ore
roadstuff:cone:0, Traffic Cone
roadstuff:cone:1, Large Traffic Cone
roadstuff:cone:2, Traffic Pole
roadstuff:bitumenBlock, Bitumen Block
roadstuff:trafficSign:0, Traffic Sign Pole
roadstuff:trafficSign:1, Traffic Sign
roadstuff:reflector:0, White Reflector
roadstuff:reflector:1, Yellow Reflector
roadstuff:reflector:2, Illuminated White Reflector
roadstuff:reflector:3, Illuminated Yellow Reflector
secretroomsmod:TorchLever, Torch Lever
secretroomsmod:OneWayGlass, One-Way Glass
secretroomsmod:CamoGate, Secret Gate
secretroomsmod:CamoDummy, tile.CamoDummy.name
secretroomsmod:SecretTrapDoor, Secret TrapDoor
secretroomsmod:SecretWoodenDoorBlock, Secret Wooden Door
secretroomsmod:SecretIronDoorBlock, Secret Iron Door
secretroomsmod:GhostBlock, Ghost Block
secretroomsmod:SecretCamoLever, Secret lever
secretroomsmod:SecretCamoRedstone, Secret Redstone
secretroomsmod:SecretCamoButton:0, Secret Stone Button
secretroomsmod:SecretCamoButton:1, Secret Wood Button
secretroomsmod:SecretPressurePlate, Secret Pressure Plate
secretroomsmod:SecretPlayerPlate, Secret Player Plate
secretroomsmod:SecretLightPlate, Secret Weighted Plate (light)
secretroomsmod:SecretHeavyPlate, Secret Weighted Plate (heavy)
secretroomsmod:SecretStair, Secret Stairs
secretroomsmod:SecretChest, Secret Chest
secretroomsmod:SecretTrappedChest, Secret Trapped Chest
secretroomsmod:SecretLightDetector, Secret Light Detector
secretroomsmod:SolidAir, Solid Air
TF2Teleporter:TF2TeleporterBluBlock, tile.null.name
TF2Teleporter:TF2TeleporterRedBlock, tile.null.name
ThermalCasting:castingFrame, Casting Frame
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
ThermalSmeltery:fluid.molten.EnergeticAlloy, Molten Energetic Alloy
ThermalSmeltery:fluid.molten.PhasedGold, Molten Vibrant Alloy
ThermalSmeltery:fluid.molten.ConductiveIron, Molten Conductive Iron
ThermalSmeltery:fluid.molten.PhasedIron, Molten Pulsating Iron
ThermalSmeltery:fluid.molten.DarkSteel, Molten Dark Steel
TMechworks:RedstoneMachine:0, Drawbridge
TMechworks:RedstoneMachine:1, Igniter
TMechworks:RedstoneMachine:2, Advanced Drawbridge
TMechworks:RedstoneMachine:3, Extended Drawbridge
TMechworks:Dynamo, Dynamo
TMechworks:SignalBus, tile.tmechworks.signalbus.name
TMechworks:SignalTerminal, tile.tmechworks.signalterminal.name
TMechworks:MeshFilter:0, Empty Mesh Filter
TMechworks:MeshFilter:1, Wide Mesh Filter
TMechworks:MeshFilter:2, Slat Mesh Filter
TMechworks:MeshFilter:3, Mesh Filter
TMechworks:MeshFilter:4, Fine Mesh Filter
ForgeRelocation:relocation.blockmovingrow:0, tile.relocation.blockmovingrow|0.name
MCFrames:mcframes.motor:0, Debug Frame Motor
MCFrames:mcframes.frame, Frame
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
BuildCraft|Core:wrenchItem, Wrench
BuildCraft|Core:mapLocation, Map Location
BuildCraft|Core:list:0, List
BuildCraft|Core:list:1, List
BuildCraft|Core:debugger, Debugger
BuildCraft|Core:woodenGearItem, Wood Gear
BuildCraft|Core:stoneGearItem, Stone Gear
BuildCraft|Core:ironGearItem, Iron Gear
BuildCraft|Core:goldGearItem, Gold Gear
BuildCraft|Core:diamondGearItem, Diamond Gear
BuildCraft|Core:paintbrush, Paintbrush
BuildCraft|Transport:pipeWaterproof, Pipe Sealant
BuildCraft|Transport:item.buildcraftPipe.pipeitemswood:0, Wooden Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsemerald:0, Emerald Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemscobblestone:0, Cobblestone Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsstone:0, Stone Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsquartz:0, Quartz Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsiron:0, Iron Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsgold:0, Golden Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsdiamond:0, Diamond Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsobsidian:0, Obsidian Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemslapis:0, Lazuli Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsdaizuli:0, Daizuli Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemssandstone:0, Sandstone Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsvoid:0, Void Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsemzuli:0, Emzuli Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsstripes:0, Stripes Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipeitemsclay:0, Clay Transport Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidswood:0, Wooden Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidscobblestone:0, Cobblestone Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsstone:0, Stone Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsquartz:0, Quartz Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsiron:0, Iron Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsgold:0, Golden Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsemerald:0, Emerald Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsdiamond:0, Diamond Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidssandstone:0, Sandstone Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsvoid:0, Void Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipefluidsclay:0, Clay Fluid Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowerwood:0, Wooden Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowercobblestone:0, Cobblestone Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowerstone:0, Stone Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowerquartz:0, Quartz Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepoweriron:0, Iron Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowergold:0, Golden Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowerdiamond:0, Diamond Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepoweremerald:0, Emerald Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipepowersandstone:0, Sandstone Kinesis Pipe
BuildCraft|Transport:item.buildcraftPipe.pipestructurecobblestone:0, Cobblestone Structure Pipe
BuildCraft|Transport:pipeWire:0, Red Pipe Wire
BuildCraft|Transport:pipeWire:1, Blue Pipe Wire
BuildCraft|Transport:pipeWire:2, Green Pipe Wire
BuildCraft|Transport:pipeWire:3, Yellow Pipe Wire
BuildCraft|Transport:pipeGate, item.pipeGate.name
BuildCraft|Transport:pipePlug, item.pipePlug.name
BuildCraft|Transport:pipeLens:0, Lens (Black)
BuildCraft|Transport:pipeLens:1, Lens (Red)
BuildCraft|Transport:pipeLens:2, Lens (Green)
BuildCraft|Transport:pipeLens:3, Lens (Brown)
BuildCraft|Transport:pipeLens:4, Lens (Blue)
BuildCraft|Transport:pipeLens:5, Lens (Purple)
BuildCraft|Transport:pipeLens:6, Lens (Cyan)
BuildCraft|Transport:pipeLens:7, Lens (Light Gray)
BuildCraft|Transport:pipeLens:8, Lens (Gray)
BuildCraft|Transport:pipeLens:9, Lens (Pink)
BuildCraft|Transport:pipeLens:10, Lens (Lime)
BuildCraft|Transport:pipeLens:11, Lens (Yellow)
BuildCraft|Transport:pipeLens:12, Lens (Light Blue)
BuildCraft|Transport:pipeLens:13, Lens (Magenta)
BuildCraft|Transport:pipeLens:14, Lens (Orange)
BuildCraft|Transport:pipeLens:15, Lens (White)
BuildCraft|Transport:pipeLens:16, Filter (Black)
BuildCraft|Transport:pipeLens:17, Filter (Red)
BuildCraft|Transport:pipeLens:18, Filter (Green)
BuildCraft|Transport:pipeLens:19, Filter (Brown)
BuildCraft|Transport:pipeLens:20, Filter (Blue)
BuildCraft|Transport:pipeLens:21, Filter (Purple)
BuildCraft|Transport:pipeLens:22, Filter (Cyan)
BuildCraft|Transport:pipeLens:23, Filter (Light Gray)
BuildCraft|Transport:pipeLens:24, Filter (Gray)
BuildCraft|Transport:pipeLens:25, Filter (Pink)
BuildCraft|Transport:pipeLens:26, Filter (Lime)
BuildCraft|Transport:pipeLens:27, Filter (Yellow)
BuildCraft|Transport:pipeLens:28, Filter (Light Blue)
BuildCraft|Transport:pipeLens:29, Filter (Magenta)
BuildCraft|Transport:pipeLens:30, Filter (Orange)
BuildCraft|Transport:pipeLens:31, Filter (White)
BuildCraft|Transport:pipeLens:32, Lens (Clear)
BuildCraft|Transport:pipeLens:33, Filter (Clear)
BuildCraft|Transport:pipePowerAdapter, item.pipePowerAdapter.name
BuildCraft|Transport:gateCopier, Gate Copier
BuildCraft|Silicon:redstoneChipset:0, Redstone Chipset
BuildCraft|Silicon:redstoneChipset:1, Iron Chipset
BuildCraft|Silicon:redstoneChipset:2, Golden Chipset
BuildCraft|Silicon:redstoneChipset:3, Diamond Chipset
BuildCraft|Silicon:redstoneChipset:4, Pulsating Chipset
BuildCraft|Silicon:redstoneChipset:5, Quartz Chipset
BuildCraft|Silicon:redstoneChipset:6, Redstone Comp Chipset
BuildCraft|Silicon:redstoneChipset:7, Emerald Chipset
BuildCraft|Silicon:package, Package
BuildCraft|Silicon:redstoneCrystal, Redstone Crystal
IC2:itemHarz, ic2.itemHarz.name
IC2:itemRubber, ic2.itemRubber.name
IC2:itemFluidCell, ic2.itemFluidCell.name
IC2:itemupgradekit:0, ic2.itemMFSUupgradekit
IC2:itemRecipePart:0, ic2.itemPartCoil
IC2:itemRecipePart:1, ic2.itemPartEleMotor
IC2:itemRecipePart:2, ic2.itempowerunit
IC2:itemRecipePart:3, ic2.itempowerunitsmall
IC2:itemRecipePart:4, ic2.itemrawcrystalmemory
IC2:itemRecipePart:5, ic2.itemheatconductor
IC2:itemRecipePart:6, ic2.itemcopperboiler
IC2:itemRecipePart:7, ic2.itemwoodrotorblade
IC2:itemRecipePart:8, ic2.itemironrotorblade
IC2:itemRecipePart:9, ic2.itemcarbonrotorblade
IC2:itemRecipePart:10, ic2.itemsteelrotorblade
IC2:itemRecipePart:11, ic2.itemironshaft
IC2:itemRecipePart:12, ic2.itemsteelshaft
IC2:itemCasing:0, ic2.itemCasingCopper
IC2:itemCasing:1, ic2.itemCasingTin
IC2:itemCasing:2, ic2.itemCasingBronze
IC2:itemCasing:3, ic2.itemCasingGold
IC2:itemCasing:4, ic2.itemCasingIron
IC2:itemCasing:5, ic2.itemCasingAdvIron
IC2:itemCasing:6, ic2.itemCasingLead
IC2:itemCrushedOre:0, ic2.itemCrushedIronOre
IC2:itemCrushedOre:1, ic2.itemCrushedCopperOre
IC2:itemCrushedOre:2, ic2.itemCrushedGoldOre
IC2:itemCrushedOre:3, ic2.itemCrushedTinOre
IC2:itemCrushedOre:4, ic2.itemCrushedUranOre
IC2:itemCrushedOre:5, ic2.itemCrushedSilverOre
IC2:itemCrushedOre:6, ic2.itemCrushedLeadOre
IC2:itemPurifiedCrushedOre:0, ic2.itemPurifiedCrushedIronOre
IC2:itemPurifiedCrushedOre:1, ic2.itemPurifiedCrushedCopperOre
IC2:itemPurifiedCrushedOre:2, ic2.itemPurifiedCrushedGoldOre
IC2:itemPurifiedCrushedOre:3, ic2.itemPurifiedCrushedTinOre
IC2:itemPurifiedCrushedOre:4, ic2.itemPurifiedCrushedUranOre
IC2:itemPurifiedCrushedOre:5, ic2.itemPurifiedCrushedSilverOre
IC2:itemPurifiedCrushedOre:6, ic2.itemPurifiedCrushedLeadOre
IC2:itemPlates:0, ic2.itemPlateCopper
IC2:itemPlates:1, ic2.itemPlateTin
IC2:itemPlates:2, ic2.itemPlateBronze
IC2:itemPlates:3, ic2.itemPlateGold
IC2:itemPlates:4, ic2.itemPlateIron
IC2:itemPlates:5, ic2.itemPlateAdvIron
IC2:itemPlates:6, ic2.itemPlateLead
IC2:itemPlates:7, ic2.itemPlateObsidian
IC2:itemPlates:8, ic2.itemPlateLapi
IC2:itemDensePlates:0, ic2.itemDensePlateCopper
IC2:itemDensePlates:1, ic2.itemDensePlateTin
IC2:itemDensePlates:2, ic2.itemDensePlateBronze
IC2:itemDensePlates:3, ic2.itemDensePlateGold
IC2:itemDensePlates:4, ic2.itemDensePlateIron
IC2:itemDensePlates:5, ic2.itemDensePlateAdvIron
IC2:itemDensePlates:6, ic2.itemDensePlateLead
IC2:itemDensePlates:7, ic2.itemDensePlateObsidian
IC2:itemDensePlates:8, ic2.itemDensePlateLapi
